Item,Qty,Ref Des,Description,Manufacturer,Part Number,Digikey Part Number,Parts returned from Hughes,Parts sent to Sierra
29,1,J6,XC-JTAG14,MOLEX,878311420,3M5362-ND,4,3
30,3,"L1, L2, L3",BLM41PG600SN1,MURATA,BLM41PG600SN1L,490-1058-1-ND,lot,25
31,2,"R1, R132",RES0402 (5.6K),SAMSUNG,RC1005F562CS,1276-4089-1-ND,lot,28
32,2,"R11, R20",RES0805 (100R),YAGEO,RT0805BRD07100RL,YAG1760CT-ND,lot,15
33,1,R12,RES0402 (10),SAMSUNG,RC1005F100CS,1276-3428-1-ND,lot,25
34,19,"R15, R21, R27, R28, R47, R79, R116, R117, R118, R119, R128, R129, R273, R274, R275, R276, R277, R278, R280",RES0402 (4.7K),SAMSUNG,RC1005F472CS,1276-3466-1-ND,lot,100
35,64,"R16, R17, R18, R19, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R67, R68, R70, R71, R72, R73, R74, R75, R80, R81, R82, R85, R86, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R127, R140",RSA4 (100),VISHAY DALE,CRA06P083100RJTA,CRA6P8100CT-ND,lot,300
36,9,"R2, R4, R8, R22, R26, R48, R77, R133, R279",RES0402 (1K),SAMSUNG,RC1005F102CS,1276-3430-1-ND,lot,50
37,1,R23,RES0402 (33K),SAMSUNG,RC1005F333CS,1276-3461-1-ND,lot,25
38,1,R25,RES0402 (1.4K),SAMSUNG,RC1005F1401CS,1276-3440-1-ND,lot,25
39,2,"R29, R161",RES2512 (6mOhm),Vishay Dale,WSL25126L000FEA,WSLG-.006CT-ND,lot,15
40,1,R3,RES0402 (3.9K),SAMSUNG,RC1005F392CS,1276-4073-1-ND,lot,25
41,1,R5,RES0402 (1.02K),SAMSUNG,RC1005F1021CS,1276-4020-1-ND,lot,25
42,1,R6,RES0402 (1M),SAMSUNG,RC1005F105CS,1276-3433-1-ND,lot,25
43,2,"R64, R65",RES0805 (1R),Stackpole Electronics Inc.,RMCF0805FT1R00,RMCF0805FT1R00TR-ND,lot,15
44,3,"R66, R69, R76",RES0402 (100K),SAMSUNG,RC1005F104CS,1276-3432-1-ND,lot,40
45,2,"R7, R13",RES0402 (2.4K),SAMSUNG,RC1005F242CS,1276-4050-1-ND,lot,30
46,1,R78,RES0402 (10K),SAMSUNG,RC1005F103CS,1276-3431-1-ND,lot,25
47,6,"R84, R113, R134, R135, R136, R137",RES0402 (330),SAMSUNG,RC1005F331CS,1276-3976-1-ND,lot,50
48,5,"R9, R10, R14, R114, R115",RES0402 (100),SAMSUNG,RC1005F101CS,1276-3429-1-ND,lot,50
49,1,S1,RESET,APEM INC,MJTP1106STR,679-2395-1-ND,5,5
50,1,SW1,POWER_SWITCH,NKK Switches,MS12ANW03,360-2385-ND,lot,2
51,1,U1,74LCX244MSA,FAIRCHILD,74LCX244MTCX,74LCX244MTCXCT-ND,4,4
52,1,U10,LTC2990CMS,LINEAR TECHNOLOGY,LTC2990CMS#PBF,LTC2990CMS#PBF-ND,8,4
53,1,U11,M25P128VME6,MICRON,M25P128-VME6TGB,557-1609-1-ND,8,3
54,1,U15,PTH12000WAH,TEXAS INSTRUMENTS,PTH12000WAH,296-20449-ND,4,2
55,1,U23,TPS3808G01DBVR,TEXAS INSTRUMENTS,TPS3808G01DBVR,296-17188-1-ND,4,4
56,5,"U3, U12, U14, U16, U18",MAX8556ETE,MAXIM INTEGRATED,MAX8556ETE+T,MAX8556ETE+TCT-ND,16,9
57,1,U37,MAX3222EEUP,MAXIM INTEGRATED,MAX3222EEUP+,MAX3222EEUP+-ND,4,4
58,1,U4,XC6SLX150-FGG676,XILINX,XC6SLX150-3FGG676C,122-1763-ND,2,2
59,1,U5,PTH08T220WAH,TEXAS INSTRUMENTS,PTH08T220WAH,296-20439-ND,4,2
60,1,U6,ADP1715ARMZ,ANALOG DEVICES,ADP1715ARMZ-R7CT-ND,ADP1715ARMZ-R7CT-ND,5,3
61,2,"U7, U9",AD5142ABRUZ10,ANALOG DEVICES,AD5142ABRUZ10,AD5142ABRUZ10-ND,10,4
62,1,Y1,OSC_DIFF (150M),TXC,BT-150.000MBC-T,887-1560-1-ND,4,4
