Report Origin = (0.0, 0.0)
Units used = "mil"
"Name","layer","CenterX","CenterY","Orientation"
"C178", "Top", "4527.947", "927.838", "180"
"C179", "Top", "1237.155", "712.643", "90"
"C180", "Bottom", "4627.947", "927.838", "0"
"C181", "Top", "4827.947", "927.838", "180"
"C182", "Bottom", "4827.947", "927.838", "0"
"C183", "Top", "1497.155", "1124.023", "0"
"C184", "Bottom", "1497.155", "1124.023", "180"
"C185", "Bottom", "1283.755", "760.279", "180"
"C186", "Bottom", "1283.228", "673.494", "180"
"C204", "Top", "924.291", "796.042", "0"
"C207", "Top", "634.291", "709.819", "90"
"C213", "Top", "894.291", "1121.199", "0"
"C214", "Bottom", "894.291", "1121.199", "180"
"C223", "Bottom", "680.891", "757.455", "180"
"C224", "Bottom", "680.365", "670.671", "180"
"C225", "Top", "5875.173", "805.397", "0"
"C226", "Bottom", "4517.717", "1511.811", "270"
"C227", "Bottom", "3730.000", "2086.000", "180"
"C228", "Bottom", "3730.000", "2006.000", "180"
"C229", "Bottom", "3730.000", "1926.000", "180"
"C230", "Bottom", "3730.000", "1846.000", "180"
"C231", "Top", "5585.173", "719.175", "90"
"C232", "Top", "5845.173", "1130.555", "0"
"C233", "Bottom", "5845.173", "1130.555", "180"
"C234", "Bottom", "5631.773", "766.810", "180"
"C235", "Bottom", "5631.247", "680.026", "180"
"C236", "Top", "922.722", "2387.271", "0"
"C237", "Top", "632.722", "2301.048", "90"
"C238", "Top", "892.722", "2712.428", "0"
"C239", "Bottom", "892.722", "2712.428", "180"
"C240", "Bottom", "679.323", "2348.684", "180"
"C241", "Top", "5552.069", "2664.850", "270"
"C242", "Bottom", "678.796", "2261.900", "180"
"C243", "Bottom", "4650.129", "2995.482", "270"
"C244", "Bottom", "4730.129", "2995.482", "270"
"C245", "Top", "1839.599", "1968.752", "180"
"C246", "Top", "1839.599", "1798.752", "180"
"C247", "Top", "1839.599", "1628.752", "180"
"C248", "Top", "1839.600", "1456.693", "180"
"C249", "Top", "1839.599", "2138.752", "180"
"C250", "Top", "1152.411", "1579.650", "90"
"C251", "Top", "1392.411", "1579.650", "90"
"C252", "Bottom", "1839.599", "1543.752", "0"
"C253", "Bottom", "1839.599", "1883.752", "0"
"C254", "Bottom", "818.473", "1379.652", "90"
"C255", "Bottom", "2101.126", "1967.103", "90"
"C256", "Bottom", "2021.126", "1967.123", "90"
"C257", "Bottom", "3655.112", "1098.374", "180"
"C258", "Top", "3600.000", "2500.000", "180"
"C259", "Bottom", "3600.000", "2500.000", "0"
"C260", "Top", "1980.000", "2495.000", "180"
"C261", "Top", "1980.000", "2575.000", "180"
"C262", "Bottom", "1596.590", "1998.750", "180"
"C263", "Bottom", "1596.590", "2078.750", "180"
"C264", "Bottom", "3655.112", "1176.823", "180"
"C265", "Top", "3550.000", "1300.000", "180"
"C266", "Bottom", "3550.000", "1300.000", "0"
"C267", "Bottom", "1980.000", "2575.000", "0"
"C268", "Bottom", "1980.000", "2495.000", "0"
"C269", "Top", "1596.590", "1998.750", "0"
"C270", "Top", "1596.590", "2078.750", "0"
"C271", "Bottom", "2399.916", "1026.246", "270"
"C272", "Bottom", "3031.496", "1358.268", "270"
"C273", "Bottom", "3416.617", "1436.672", "270"
"C274", "Top", "2399.916", "1026.246", "270"
"C275", "Top", "3416.621", "1436.676", "270"
"C276", "Top", "2139.916", "1026.246", "270"
"C277", "Bottom", "4810.129", "2995.482", "270"
"C278", "Bottom", "4890.129", "2995.482", "270"
"C279", "Top", "4773.008", "3199.483", "180"
"C280", "Bottom", "4316.191", "2685.482", "90"
"C281", "Bottom", "4736.506", "2685.482", "270"
"C282", "Bottom", "4696.348", "3161.992", "0"
"C283", "Bottom", "4686.348", "3321.992", "0"
"C296", "Top", "4650.129", "2885.481", "90"
"C297", "Top", "4890.129", "2885.481", "90"
"C298", "Top", "4730.129", "2885.481", "90"
"C299", "Top", "4810.129", "2885.481", "90"
"C300", "Top", "4736.506", "2685.482", "90"
"C301", "Top", "4316.191", "2685.482", "270"
"C302", "Bottom", "4856.348", "3161.992", "180"
"C303", "Bottom", "4856.348", "3246.992", "180"
"C304", "Bottom", "4826.348", "3311.992", "180"
"C305", "Bottom", "1152.411", "1689.652", "270"
"C306", "Bottom", "1232.411", "1689.652", "270"
"C307", "Bottom", "1312.411", "1689.652", "270"
"C308", "Bottom", "1392.411", "1689.652", "270"
"C309", "Top", "5340.980", "3253.685", "180"
"C310", "Bottom", "1238.787", "1379.652", "270"
"C311", "Top", "1238.787", "1379.652", "90"
"C312", "Top", "1232.411", "1579.650", "90"
"C313", "Top", "1312.411", "1579.650", "90"
"C314", "Bottom", "1839.599", "2053.752", "0"
"C315", "Bottom", "1839.599", "1713.752", "0"
"C316", "Bottom", "1198.630", "1856.162", "0"
"C317", "Bottom", "1188.630", "2016.162", "0"
"C318", "Top", "818.473", "1379.652", "270"
"C319", "Bottom", "1895.863", "1344.286", "90"
"C320", "Bottom", "1358.630", "1856.162", "180"
"C321", "Bottom", "1358.630", "1941.162", "180"
"C322", "Bottom", "1328.630", "2006.162", "180"
"C323", "Top", "3559.590", "2798.225", "90"
"C324", "Bottom", "3744.617", "3058.166", "270"
"C325", "Bottom", "3801.592", "3057.624", "270"
"C326", "Top", "3798.155", "3309.959", "270"
"C327", "Bottom", "3590.290", "2749.289", "0"
"C328", "Bottom", "3679.915", "3053.734", "90"
"C329", "Top", "3824.910", "2798.229", "90"
"C330", "Bottom", "2894.325", "856.612", "180"
"C331", "Top", "2925.025", "807.675", "270"
"C332", "Top", "2659.705", "807.672", "270"
"C333", "Bottom", "2139.916", "1026.246", "270"
"C334", "Bottom", "3110.236", "1358.268", "90"
"C335", "Bottom", "2840.000", "1050.000", "180"
"C336", "Bottom", "2874.016", "1358.268", "270"
"C337", "Bottom", "2839.750", "1000.000", "180"
"C338", "Bottom", "2755.906", "1417.323", "90"
"C342", "Bottom", "635.081", "3184.789", "0"
